Chesterfield-Goshen - New Hingham Regional Elem,Ê00630025,4,100
Chicopee - Barry,Ê00060003,5.7,100
Chicopee - Belcher,Ê00060010,4.6,100
Chicopee - Bellamy Middle,Ê00060305,4.4,100
Chicopee - Bowe,Ê00060015,3.5,100
Chicopee - Bowie,Ê00060020,2.3,100
Chicopee - Chicopee Academy,Ê00060021,2.1,100
Chicopee - Chicopee Comprehensive HS,Ê00060510,2.5,100
Chicopee - Chicopee High,Ê00060505,2,100
Chicopee - Fairview Middle,Ê00060310,4.1,100
Chicopee - Gen John J Stefanik,Ê00060090,3.8,100
Chicopee - Lambert-Lavoie,Ê00060040,3.7,100
Chicopee - Litwin,Ê00060022,3.6,100
Chicopee - Selser,Ê00060050,4.2,100
Chicopee - Streiber Memorial School,Ê00060065,4.4,100
Chicopee - Szetela ECC,Ê00060001,6.9,100
Christa McAuliffe Regional Charter Public (District) - Christa McAuliffe Regional Charter Public School,Ê00410305,-,-
City On A Hill Charter Public (District) - City On A Hill Charter Public School,Ê00430505,-,-
Clarksburg - Clarksburg Elementary,Ê00060010,2.4,100
Clinton - Clinton Elementary,Ê00060050,3.5,100
Clinton - Clinton Middle School,Ê00060305,4.8,100
Clinton - Clinton Senior High,Ê00060505,1.7,100
Codman Academy Charter Public (District) - Codman Academy Charter Public School,Ê00430505,-,-
Cohasset - Cohasset Middle/High School,Ê00060505,1.3,100
Cohasset - Deer Hill,Ê00060005,1.4,100
Cohasset - Joseph Osgood,Ê00060010,2.5,100
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,Ê00430305,-,-
Community Day Charter Public (District) - Community Day Charter Public School,Ê00440205,-,-
Concord - Alcott,Ê00060005,1.4,100
Concord - Concord Middle,Ê00060305,2.5,100
Concord - Thoreau,Ê00060020,1.4,100
Concord - Willard,Ê00060030,1.8,100
Concord-Carlisle - Concord Carlisle High,Ê00640505,1.3,100
Conservatory Lab Charter (District) - Conservatory Lab Charter School,Ê00430050,-,-
Conway - Conway Grammar,Ê00060005,2.3,100
Danvers - Danvers High,Ê00070505,3,100
Danvers - Great Oak,Ê00070015,3.7,100
Danvers - Highlands,Ê00070010,3.7,100
Danvers - Holten Richmond Middle School,Ê00070305,2.6,100
Danvers - Ivan G Smith,Ê00070032,3,100
Danvers - Riverside,Ê00070030,3.2,100
Danvers - Willis E Thorpe,Ê00070045,2.9,100
Dartmouth - Andrew B. Cushman School,Ê00070005,12.4,100
Dartmouth - Dartmouth High,Ê00070505,2.5,100
Dartmouth - Dartmouth Middle,Ê00070050,4.3,100
Dartmouth - George H Potter,Ê00070030,1.8,100
Dartmouth - James M. Quinn School,Ê00070040,2.5,100
Dartmouth - Joseph Demello,Ê00070015,1.9,100
Dedham - Avery,Ê00070010,1.6,100
Dedham - Dedham High,Ê00070505,1.9,100
Dedham - Dedham Middle School,Ê00070305,1.7,100
Dedham - Early Childhood Center,Ê00070005,4.4,100
Dedham - Greenlodge,Ê00070025,2.8,100
Dedham - Oakdale,Ê00070030,2.5,100
Dedham - Riverdale,Ê00070045,2.3,100
Deerfield - Deerfield Elem,Ê00070015,3.9,100
Dennis-Yarmouth - Dennis-Yarmouth Reg High,Ê00640505,2,100
Dennis-Yarmouth - Ezra H Baker,Ê00640005,3.2,100
Dennis-Yarmouth - Laurence C MacArthur Elem,Ê00640020,3.2,100
Dennis-Yarmouth - Marguerite E Small Elem,Ê00640015,2.4,100
Dennis-Yarmouth - Mattacheese Middle Sch,Ê00640305,2.6,100
Dennis-Yarmouth - N H Wixon Middle,Ê00640310,2.1,100
Dennis-Yarmouth - Station Avenue Elem,Ê00640025,2.7,100
Dighton-Rehoboth - Dighton Elementary,Ê00650005,2.5,100
Dighton-Rehoboth - Dighton Middle School,Ê00650305,1.9,100
Dighton-Rehoboth - Dighton-Rehoboth Rhs,Ê00650505,2.1,100
Dighton-Rehoboth - Dorothy L Beckwith,Ê00650310,3.3,100
Dighton-Rehoboth - Palmer River,Ê00650010,4.8,100
Dorchester Collegiate Academy Charter (District) - Dorchester Collegiate Academy Charter,Ê00470505,-,-
Douglas - Douglas Early Childhood,Ê00070003,10.2,100
Douglas - Douglas Elementary,Ê00070010,3.4,100
Douglas - Douglas High School,Ê00070505,1.9,100
Douglas - Douglas Intermediate School,Ê00070100,2.5,100
Dover - Chickering,Ê00070005,2.1,100
Dover-Sherborn - Dover-Sherborn Reg High,Ê00650505,2,100
Dover-Sherborn - Dover-Sherborn Reg MS,Ê00650405,2.2,100
Dracut - Brookside Elementary,Ê00070035,7.7,100
Dracut - Dracut Senior High,Ê00070505,4.2,100
Dracut - George H. Englesby Intermediate,Ê00070040,5.8,100
Dracut - Greenmont Avenue,Ê00070030,4.3,100
Dracut - Joseph A Campbell Elem,Ê00070020,11.9,100
Dracut - Lakeview Junior High,Ê00070410,3.3,100
Dracut - Parker Avenue,Ê00070025,6,100
